word,count,rank
you,3007,1
the,1507,2
to,1364,3
it,1363,4
a,1191,5
I,1146,6
what,1042,7
do,827,8
that,688,9
and,681,10
Abe,600,11
okay,596,12
your,543,13
we,507,14
did,505,15
in,490,16
uhhuh,481,17
on,471,18
want,452,19
are,441,20
oh,404,21
go,403,22
don't,402,23
like,391,24
is,377,25
can,363,26
get,352,27
that's,339,28
this,319,29
it's,318,30
of,306,31
have,305,32
going,301,33
me,291,34
think,291,35
for,286,36
they,283,37
one,278,38
how,269,39
just,269,40
see,267,41
was,252,42
he,249,43
no,248,44
would,247,45
with,244,46
yeah,241,47
be,237,48
some,236,49
why,232,50
here,231,51
I'm,230,52
all,221,53
if,218,54
eat,217,55
when,215,56
know,213,57
put,211,58
you're,201,59
have_to,197,60
right,193,61
not,190,62
Daddy,188,63
up,180,64
so,180,65
at,176,66
tell,175,67
I'll,170,68
good,169,69
there,166,70
where,166,71
them,164,72
about,159,73
make,158,74
come,155,75
look,155,76
too,154,77
now,148,78
out,143,79
really,140,80
,133,81
were,133,82
didn't,132,83
then,132,84
sure,131,85
because,126,86
little,120,87
who,109,88
will,107,89
off,105,90
or,103,91
my,101,92
but,99,93
more,99,94
huh,99,95
him,99,96
well,98,97
got,98,98
say,96,99
big,95,100
does,94,101
need,93,102
they're,92,103
those,91,104
time,89,105
we'll,88,106
what's,88,107
take,84,108
let's,83,109
Dad,83,110
we're,82,111
today,80,112
any,79,113
let,78,114
use,74,115
can't,71,116
long,71,117
ready,70,118
thought,70,119
play,68,120
remember,67,121
his,67,122
over,67,123
find,66,124
these,65,125
pretty,65,126
else,64,127
our,62,128
could,61,129
two,61,130
down,61,131
ahead,60,132
water,59,133
an,58,134
nice,58,135
said,57,136
first,57,137
saw,56,138
wait,56,139
doesn't,56,140
made,56,141
school,55,142
second,55,143
way,55,144
outside,54,145
milk,54,146
had,54,147
looks,54,148
won't,52,149
he's,51,150
help,51,151
still,51,152
hey,50,153
she,50,154
you'll,48,155
wow,48,156
show,48,157
done,47,158
kind,46,159
isn't,46,160
picture,46,161
happened,46,162
cut,46,163
cheese,46,164
went,45,165
tomorrow,45,166
very,45,167
there's,45,168
another,45,169
out_of,44,170
as,44,171
doing,44,172
other,43,173
until,43,174
through,43,175
something,42,176
last,42,177
while,41,178
gonna,41,179
back,41,180
getting,41,181
after,41,182
better,41,183
from,41,184
maybe,40,185
yet,40,186
should,40,187
real,39,188
a_lot_of,39,189
her,38,190
try,38,191
here's,37,192
aren't,37,193
paper,37,194
mean,37,195
night,36,196
butter,35,197
around,35,198
idea,35,199
dinner,34,200
tonight,34,201
pick,34,202
morning,34,203
table,34,204
home,34,205
house,34,206
who's,34,207
fish,34,208
before,34,209
together,34,210
many,34,211
hot,33,212
give,33,213
yogurt,33,214
things,32,215
paint,32,216
different,32,217
much,31,218
eating,31,219
bread,31,220
which,31,221
might,31,222
work,31,223
hard,31,224
found,30,225
leave,30,226
again,30,227
by,30,228
probably,30,229
read,30,230
so_that,29,231
guess,29,232
store,29,233
keep,29,234
later,28,235
has,28,236
color,28,237
called,28,238
cream,28,239
people,28,240
stuff,28,241
already,27,242
hair,27,243
cold,27,244
taste,27,245
enough,27,246
Texas,27,247
top,27,248
new,27,249
Stan,26,250
ones,26,251
bed,26,252
wanted,26,253
been,26,254
trying,26,255
wear,26,256
floor,25,257
thank_you,25,258
peanut,25,259
feel,25,260
am,25,261
us,25,262
same,25,263
throw,25,264
ask,25,265
tacos,25,266
I'd,25,267
part,25,268
three,25,269
hurt,25,270
old,25,271
anything,24,272
shirt,24,273
red,24,274
fix,24,275
book,24,276
wouldn't,24,277
makes,24,278
you'd,24,279
boy,23,280
bear,23,281
five,23,282
stay,23,283
day,23,284
making,23,285
wanna,23,286
lunch,23,287
it'll,23,288
honey,23,289
hear,23,290
their,23,291
head,23,292
ice,22,293
hope,22,294
almost,22,295
dry,22,296
where's,22,297
ever,22,298
bet,22,299
one's,22,300
